Pharmacy Name,Type of Location,Address and Phone Number,Address,Phone Number
Diabetes & Glandular Disease Clinic,Pharmacy,5107 Medical Dr · (210) 614-8612,5107 Medical Dr , (210) 614-8612
Champs Medical,Pharmacy,7718 Louis Pasteur Dr · (210) 547-2340,7718 Louis Pasteur Dr , (210) 547-2340
CVS,Drug store,"Balcones Heights, TX · In Target · (210) 280-0001","Balcones Heights, TX ", In Target 
CVS,Drug store,"Converse, TX · (210) 566-3615","Converse, TX ", (210) 566-3615
CVS,Drug store,"Alamo Heights, TX · (210) 824-1679","Alamo Heights, TX ", (210) 824-1679
H-E-B plus!,Grocery store,9238 N Loop 1604 W · In HEB Crossing · (210) 682-0165,9238 N Loop 1604 W , In HEB Crossing 
Feik School of Pharmacy,University,"Feik School of Pharmacy, 703 E Hildebrand Ave · (210) 883-1000","Feik School of Pharmacy, 703 E Hildebrand Ave ", (210) 883-1000
Walgreens Pharmacy,Pharmacy,"New Braunfels, TX · (830) 626-3364","New Braunfels, TX ", (830) 626-3364
H-E-B,Grocery store,2130 Culebra Rd · (210) 737-1027,2130 Culebra Rd , (210) 737-1027
CVS,Drug store,"Castle Hills, TX · (210) 341-1487","Castle Hills, TX ", (210) 341-1487
H-E-B plus!,Grocery store,"San Antonio, TX · (210) 408-1641","San Antonio, TX ", (210) 408-1641
CVS Pharmacy,Pharmacy,"San Antonio, TX · (210) 877-8353","San Antonio, TX ", (210) 877-8353
CVS,Drug store,"Helotes, TX · In Helotes Plaza · (210) 372-0386","Helotes, TX ", In Helotes Plaza 
Walgreens,Drug store,"Converse, TX · (210) 662-7764","Converse, TX ", (210) 662-7764
H-E-B,Grocery store,15000 San Pedro Ave · (210) 494-3501,15000 San Pedro Ave , (210) 494-3501
H-E-B plus!,Grocery store,10718 Potranco Rd · (210) 681-2250,10718 Potranco Rd , (210) 681-2250
Costco Wholesale #693,Warehouse store,1201 N Loop 1604 E · (210) 403-4703,1201 N Loop 1604 E , (210) 403-4703
Walmart Supercenter,Department store,5025 Northwest Loop 410 · (210) 523-1091,5025 Northwest Loop 410 , (210) 523-1091
H-E-B,Grocery store,516 S Flores St · (210) 444-1879,516 S Flores St , (210) 444-1879
H-E-B,Grocery store,8503 NW Military Hwy · In Alon Town Center · (210) 479-4300,8503 NW Military Hwy , In Alon Town Center 
Costco Wholesale,Warehouse store,5611 UTSA Boulevard · (210) 200-2050,5611 UTSA Boulevard , (210) 200-2050
H-E-B,Grocery store,6000 West Ave · (210) 341-7289,6000 West Ave , (210) 341-7289
Walmart Supercenter,Department store,8500 Jones Maltsberger Rd · (210) 377-1899,8500 Jones Maltsberger Rd , (210) 377-1899
Spring Branch Pharmacy,Pharmacy,"Spring Branch, TX · In The Shops At Faithville Park · (830) 885-7770","Spring Branch, TX ", In The Shops At Faithville Park 
Christi Rankin,Pharmacy,"Pleasanton, TX · (830) 281-8190","Pleasanton, TX ", (830) 281-8190
"Emergency Pet Clinic San Antonio, A Thrive Pet Healthcare Partner",Emergency veterinarian service,8503 Broadway # 105 · (210) 469-7509,8503 Broadway # 105 , (210) 469-7509
Thrive Pet Healthcare,Veterinarian,1211 Austin Hwy Suite 108 Ste 108 · In Terrell Plaza · (210) 742-9508,1211 Austin Hwy Suite 108 Ste 108 , In Terrell Plaza 
Walmart Supercenter,Department store,8923 Military Dr W · (210) 675-5092,8923 Military Dr W , (210) 675-5092
Walmart Supercenter,Department store,12639 Blanco Rd · (210) 591-6282,12639 Blanco Rd , (210) 591-6282
CommuniCare Health Centers - Northwest Clinic,Pharmacy,8210 Callaghan Rd · (210) 233-7000,8210 Callaghan Rd , (210) 233-7000
Walmart Supercenter,Department store,1200 SE Military Dr · (210) 921-0800,1200 SE Military Dr , (210) 921-0800
"Perrin-410 Animal Hospital, A Thrive Pet Healthcare Partner",Veterinarian,8365 Perrin Beitel · In River Oaks Shopping Center · (210) 650-3141,8365 Perrin Beitel , In River Oaks Shopping Center 
H-E-B plus!,Grocery store,"San Antonio, TX · (210) 673-4900","San Antonio, TX ", (210) 673-4900
CVS Pharmacy,Pharmacy,"Helotes, TX · (210) 372-0386","Helotes, TX ", (210) 372-0386
Walmart Neighborhood Market,Grocery store,4226 De Zavala Rd · (210) 774-2734,4226 De Zavala Rd , (210) 774-2734
CVS,Drug store,"Universal City, TX · (210) 658-8011","Universal City, TX ", (210) 658-8011
St. Francis of Assisi Veterinary Medical Center,Veterinarian,8615 Potranco Rd · (210) 509-8500,8615 Potranco Rd , (210) 509-8500
Dr. Dmitiry Buyanov,Medical laboratory,2425 Babcock Rd #108 · In Medical Center Plaza · (210) 298-9004,2425 Babcock Rd #108 , In Medical Center Plaza 
H-E-B Headquarters,Corporate office,646 S Flores St · (210) 938-8000,646 S Flores St , (210) 938-8000
Walmart Supercenter,Department store,918 Bandera Rd · (210) 536-0576,918 Bandera Rd , (210) 536-0576
Walmart Neighborhood Market,Grocery store,1515 S Ellison Dr · (210) 276-2012,1515 S Ellison Dr , (210) 276-2012
Sam's Club,Warehouse club,5055 Northwest Loop 410 · (210) 680-9425,5055 Northwest Loop 410 , (210) 680-9425
Walmart Supercenter,Department store,3302 SE Military Dr · (210) 337-1946,3302 SE Military Dr , (210) 337-1946
Walmart Supercenter,Department store,2100 SE Loop 410 Acc Rd · (210) 648-7194,2100 SE Loop 410 Acc Rd , (210) 648-7194
Walmart Pharmacy,Pharmacy,"Pleasanton, TX · (830) 569-5565","Pleasanton, TX ", (830) 569-5565
CommuniCare Pediatrics & OBGYN - Medical Center Clinic,Pharmacy,7220 Louis Pasteur Dr Suite 140 Suite #140 · In Med Center Pointe · (210) 233-7000,7220 Louis Pasteur Dr Suite 140 Suite #140 , In Med Center Pointe 
Walmart Supercenter,Department store,6703 W Loop 1604 N · (210) 688-3626,6703 W Loop 1604 N , (210) 688-3626
CommuniCare Health Centers - Alamo Ranch Clinic,Pharmacy,6838 Alamo Pkwy Suite #5 · (210) 431-6262,6838 Alamo Pkwy Suite #5 , (210) 431-6262
Walmart Neighborhood Market,Grocery store,9006 Guilbeau Rd · (210) 536-3160,9006 Guilbeau Rd , (210) 536-3160
Lone Star Pharmacy,Pharmacy,"Canyon Lake, TX · (830) 964-3615","Canyon Lake, TX ", (830) 964-3615
Urology San Antonio (Stone Oak),Pharmacy,18915 Meisner Dr · (210) 499-5158,18915 Meisner Dr , (210) 499-5158
H-E-B,Grocery store,14325 Potranco Rd · In Stevens Ranch Shopping Center · (210) 688-4662,14325 Potranco Rd , In Stevens Ranch Shopping Center 
Target,Department store,3227 SE Military Dr · In Brooks Corner Shopping Center · (210) 247-0082,3227 SE Military Dr , In Brooks Corner Shopping Center 
Sam's Club,Warehouse club,3239 Goliad Rd · (210) 507-0482,3239 Goliad Rd , (210) 507-0482
H-E-B Pharmacy,Pharmacy,"San Antonio, TX · (210) 341-3875","San Antonio, TX ", (210) 341-3875
CVS,Drug store,"San Antonio, TX · (210) 561-1325","San Antonio, TX ", (210) 561-1325
Walmart Supercenter,Department store,16503 Nacogdoches Rd · (210) 646-6077,16503 Nacogdoches Rd , (210) 646-6077
Urology San Antonio (Westover Hills),Pharmacy,10431 TX-151 · (210) 521-7333,10431 TX-151 , (210) 521-7333
Costco Wholesale,Warehouse store,191 West Loop 1604 South · (210) 868-6725,191 West Loop 1604 South , (210) 868-6725
Target,Department store,746 Northwest Loop 410 · In Park North Shopping Center · (210) 424-2301,746 Northwest Loop 410 , In Park North Shopping Center 
Target Grocery,Grocery store,22832 U.S. Hwy 281 N · In Village at Stone Oak · (210) 679-2368,22832 U.S. Hwy 281 N , In Village at Stone Oak 
Target,Department store,11311 Bandera Rd · In Bandera Pointe · (210) 682-2253,11311 Bandera Rd , In Bandera Pointe 
Walmart Supercenter,Department store,1603 Vance Jackson Rd · (210) 738-8218,1603 Vance Jackson Rd , (210) 738-8218
Target,Department store,1223 Austin Hwy · In Terrell Plaza · (210) 202-3578,1223 Austin Hwy , In Terrell Plaza 
Target,Department store,13700 San Pedro Ave · (210) 496-6800,13700 San Pedro Ave , (210) 496-6800
Target,Department store,2810 SW Military Dr · In Target Mobile · (210) 977-8552,2810 SW Military Dr , In Target Mobile 
Target,Department store,8223 TX-151 · In Westover Marketplace · (210) 247-0016,8223 TX-151 , In Westover Marketplace 
Blanco Pharmacy & Wellness,Pharmacy,"Blanco, TX · (830) 833-4815","Blanco, TX ", (830) 833-4815
Medina Annex Shoppette,Store,"Lackland AFB, TX · (210) 674-5222","Lackland AFB, TX ", (210) 674-5222
CommuniCare Pediatrics - Encino Park Clinic,Pharmacy,20306 Encino Ledge Suite #101 · (210) 402-0138,20306 Encino Ledge Suite #101 , (210) 402-0138
Robert B. Green Campus - University Health,Medical clinic,903 W Martin St · (210) 358-3400,903 W Martin St , (210) 358-3400
CVS,Drug store,"Spring Branch, TX · (830) 438-8001","Spring Branch, TX ", (830) 438-8001
Schnabel's Hardware,Home improvement store,4337 McCullough Ave · (210) 826-4412,4337 McCullough Ave , (210) 826-4412
Target Mobile,Cell phone store,2810 SW Military Dr · (210) 977-8552,2810 SW Military Dr , (210) 977-8552
Target,Department store,"Balcones Heights, TX · In the Wonderland of the Americas · (210) 280-0000","Balcones Heights, TX ", In the Wonderland of the Americas 
Walmart Supercenter,Department store,"Converse, TX · (210) 666-6066","Converse, TX ", (210) 666-6066
CVS Pharmacy,Pharmacy,"San Antonio, TX · (210) 679-2369","San Antonio, TX ", (210) 679-2369
Davila Pharmacy Inc.,Pharmacy,"San Antonio, TX · (210) 226-5293","San Antonio, TX ", (210) 226-5293
Walmart Supercenter,Department store,"Helotes, TX · (210) 507-4979","Helotes, TX ", (210) 507-4979
Medly Pharmacy San Antonio,Pharmacy,13331 Nacogdoches Rd · (210) 944-4545,13331 Nacogdoches Rd , (210) 944-4545
Target,Department store,"Selma, TX · In The Forum at Olympia Parkway- Selma, Texas · (210) 945-9102","Selma, TX "," In The Forum at Olympia Parkway- Selma, Texas "
Military Apothecary Lp,Pharmacy,810 SE Military Dr · (210) 923-4404,810 SE Military Dr , (210) 923-4404
CentroMed Christus Santa Rosa Professional Pavilion,Pediatrician,315 N San Saba #103 · In The Children's Hospital of San Antonio · (210) 922-7000,315 N San Saba #103 , In The Children's Hospital of San Antonio 
MedPost Urgent Care - San Antonio West Hildebrand,Urgent care center,115 Angeles Dr Suite 103 Suite 103 · (210) 664-0962,115 Angeles Dr Suite 103 Suite 103 , (210) 664-0962
San Antonio,Train station,350 Hoefgen Ave · (800) 872-7245,350 Hoefgen Ave , (800) 872-7245
Cibolo Creek Veterinary Hospital,Animal hospital,"Boerne, TX · (830) 816-5123","Boerne, TX ", (830) 816-5123
Cibolo Small Animal Hospital,Veterinarian,"Cibolo, TX · (210) 651-1384","Cibolo, TX ", (210) 651-1384
Resolute Baptist Hospital,Pharmacy,"New Braunfels, TX · (830) 500-6000","New Braunfels, TX ", (830) 500-6000
