Pharmacy Name,Type of Location,Address and Phone Number,Address,Phone Number
ReNue Hampton Pharmacy,Pharmacy,2701 S Hampton Rd · (972) 707-8248,2701 S Hampton Rd , (972) 707-8248
Landmark Infusion,Pharmacy,"Irving, TX · (866) 388-3883","Irving, TX ", (866) 388-3883
Link Pharmacy,Pharmacy,"Dallas, TX · (945) 910-5465","Dallas, TX ", (945) 910-5465
ReNue Hampton Pharmacy,Pharmacy,2701 S Hampton Rd · (972) 707-8248,2701 S Hampton Rd , (972) 707-8248
Alan Roach,Pharmacy,"METHODIST HOSPITAL OF DALLAS, 1441 N Beckley Ave · (214) 947-2400","METHODIST HOSPITAL OF DALLAS, 1441 N Beckley Ave ", (214) 947-2400
Fiesta Pharmacy,Pharmacy,2947 S Buckner Blvd · (214) 275-8066,2947 S Buckner Blvd , (214) 275-8066
Salud's Pharmacy,Pharmacy,611 Jefferson Blvd Ste. 500 · (214) 946-3886,611 Jefferson Blvd Ste. 500 , (214) 946-3886
Elizabeth Ragsdale,Pharmacy,4702 N Jim Miller Rd · (214) 388-4951,4702 N Jim Miller Rd , (214) 388-4951
Bayo's Pharmacy,Pharmacy,2100 W Colorado Blvd · (214) 948-9441,2100 W Colorado Blvd , (214) 948-9441
Recept Pharmacy,Pharmacy,2225 Vatican Ln · (214) 330-6000,2225 Vatican Ln , (214) 330-6000
CVS,Drug store,4202 Ross Ave · (214) 584-2480,4202 Ross Ave , (214) 584-2480
Dallas Doctors office,Pharmacy,8215 Westchester Dr,8215 Westchester Dr,8215 Westchester Dr
CVS Pharmacy,Pharmacy,150 E Illinois Ave · (214) 944-5857,150 E Illinois Ave , (214) 944-5857
Patient1st Pharmacy Dallas,Pharmacy,"Irving, TX · In Assurance America · (972) 600-8216","Irving, TX ", In Assurance America 
Rite Care Pharmacy,Pharmacy,9415 Bruton Rd Suite 3103 · (214) 421-2210,9415 Bruton Rd Suite 3103 , (214) 421-2210
Sophia Lee,Pharmacy,4702 N Jim Miller Rd · (214) 388-4951,4702 N Jim Miller Rd , (214) 388-4951
Texas Star Pharmacy,Pharmacy,"Plano, TX · In Crossroads shopping center · (972) 519-8475","Plano, TX ", In Crossroads shopping center 
CVS Pharmacy,Pharmacy,5050 S Lancaster Rd · (214) 375-8924,5050 S Lancaster Rd , (214) 375-8924
Health Mart Pharmacy,Pharmacy,"Sunnyvale, TX","Sunnyvale, TX","Sunnyvale, TX"
Walgreens Pharmacy,Pharmacy,"Irving, TX · (972) 594-1648","Irving, TX ", (972) 594-1648
CVS,Drug store,4207 Lemmon Ave · (214) 528-0328,4207 Lemmon Ave , (214) 528-0328
Walmart Pharmacy,Pharmacy,13739 N Central Expy · (972) 656-2501,13739 N Central Expy , (972) 656-2501
Target,Department store,13131 Montfort Dr · (972) 239-8161,13131 Montfort Dr , (972) 239-8161
Landmark Infusion,Pharmacy,"Irving, TX · (866) 388-3883","Irving, TX ", (866) 388-3883
CVS,Drug store,"Dallas, TX · (972) 392-9634","Dallas, TX ", (972) 392-9634
CVS Photo,Passport photo processor,14041 Noel Rd · (972) 387-8664,14041 Noel Rd , (972) 387-8664
SUNNYVALE PHARMACY,Pharmacy,"Sunnyvale, TX · (972) 290-0341","Sunnyvale, TX ", (972) 290-0341
Spring Creek Pharmacy,Pharmacy,"Plano, TX · (972) 517-7900","Plano, TX ", (972) 517-7900
Carie Boyd’s Prescription Shop,Pharmacy,"Irving, TX · In Freeport Business Park · (817) 282-9376","Irving, TX ", In Freeport Business Park 
Mesquite Pharmacy,Pharmacy,"Mesquite, TX · (972) 285-1761","Mesquite, TX ", (972) 285-1761
Garland Independent Pharmacy,Pharmacy,"Garland, TX · (972) 864-1110","Garland, TX ", (972) 864-1110
Metrocare Westmoreland Adult Mental Health Clinic & Pharmacy,Pharmacy,1350 N Westmoreland Rd · (214) 330-0036,1350 N Westmoreland Rd , (214) 330-0036
Grapevine Drug RX,Pharmacy,"Grapevine, TX · (817) 481-5780","Grapevine, TX ", (817) 481-5780
Ben Franklin Apothecary.,Pharmacy,"Duncanville, TX · (972) 298-4936","Duncanville, TX ", (972) 298-4936
INDEPENDENCE PHARMACY,Pharmacy,"Frisco, TX · (469) 885-9100","Frisco, TX ", (469) 885-9100
Adams Pharmacy,Pharmacy,"DeSoto, TX · (972) 223-0444","DeSoto, TX ", (972) 223-0444
Super Value Pharmacy,Pharmacy,"Euless, TX · (817) 283-5308","Euless, TX ", (817) 283-5308
Quality Care Pharmacy and Compounding,Pharmacy,"Wylie, TX · In Medical Offices · (972) 442-5333","Wylie, TX ", In Medical Offices 
COVID-19 Drive-Thru Testing at Walgreens,Pharmacy,"Mesquite, TX · (972) 686-8913","Mesquite, TX ", (972) 686-8913
MidCities Pharmacy,Pharmacy,"Hurst, TX · (817) 605-3500","Hurst, TX ", (817) 605-3500
Bowen Pharmacy,Pharmacy,"Arlington, TX · (817) 918-4900","Arlington, TX ", (817) 918-4900
Beaker Pharmacy,Pharmacy,"McKinney, TX · (972) 972-4700","McKinney, TX ", (972) 972-4700
Walmart Supercenter,Department store,"Plano, TX · (972) 931-9846","Plano, TX ", (972) 931-9846
"Village Lane Apothecary, LLC",Pharmacy,"Colleyville, TX · In Colleyville Plaza · (817) 717-2000","Colleyville, TX ", In Colleyville Plaza 
kk's pharmacy,Pharmacy,"Mansfield, TX · (817) 453-5700","Mansfield, TX ", (817) 453-5700
Link Pharmacy,Pharmacy,"Dallas, TX · (945) 910-5465","Dallas, TX ", (945) 910-5465
CVS Pharmacy,Pharmacy,"Addison, TX · (214) 414-0026","Addison, TX ", (214) 414-0026
Tom Thumb,Grocery store,2380 N Field St · Near the Perot Museum of Nature and Science · (972) 454-5045,2380 N Field St , Near the Perot Museum of Nature and Science 
Redbox,Movie rental kiosk,4610 Frankford Rd · In CVS Pharmacy · (866) 733-2693,4610 Frankford Rd , In CVS Pharmacy 
Texas Neurology,Pharmacy,6080 N Central Expy Ste 100 · (214) 827-3610,6080 N Central Expy Ste 100 , (214) 827-3610
MedCore Pharmacy,Pharmacy,2600 N Stemmons Fwy · (469) 333-8660,2600 N Stemmons Fwy , (469) 333-8660
